,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2020-06-26,199.24834693682632,199.4079647501798,194.41005184273962,195.85655212402344,54675800,363.7541583135245,364.6625242004274,352.38464279533156,352.9935607910156,51314200,306.1600036621094,306.3900146484375,299.4200134277344,300.04998779296875,127961000
2020-06-29,195.30788239806603,198.0512508725962,193.08326422451415,197.9614715576172,26701600,352.61422904227794,361.51818844176086,350.6477733829699,361.1288757324219,32661500,301.4100036621094,304.6099853515625,298.92999267578125,304.4599914550781,79773300
2020-06-30,197.40281328306847,203.90707921249245,197.26315150475548,203.01922607421875,34310300,359.43192630145927,365.32133204310975,359.35208368642986,364.1434326171875,35055800,303.989990234375,310.20001220703125,303.82000732421875,308.3599853515625,113394800
2020-07-01,202.65012426198524,205.85238999695375,201.28343290838419,204.20635986328125,32061200,364.46287340533064,366.6988322356822,363.25505962243403,363.4546813964844,27684300,309.57000732421875,311.8900146484375,309.07000732421875,310.5199890136719,72396500
2020-07-02,205.1840005884207,207.51836930646556,204.505647697736,205.76260375976562,29315800,367.18797107681235,369.8032508793102,362.98555651927165,363.4546813964844,28510400,314.239990234375,315.70001220703125,311.510009765625,312.2300109863281,69344200
2020-07-06,208.32640890173488,210.62086550296294,207.5881879296202,210.19189453125,31897600,369.3340776406031,375.1036736349691,369.20430673929945,373.1771545410156,29663900,316.3699951171875,317.67999267578125,315.55999755859375,317.04998779296875,61713800
2020-07-07,209.94249436472143,214.15231900403694,207.48843520727692,207.747802734375,33600700,374.7343625120686,377.938576810712,371.56009300265913,372.0192565917969,28106100,315.3800048828125,317.5199890136719,313.3699951171875,313.7799987792969,82910000
2020-07-08,209.5634335488489,212.7457282299469,208.18675648180803,212.3167724609375,33600000,376.04199920005846,380.81339517403427,375.6826312696679,380.6836242675781,29273000,314.6099853515625,316.29998779296875,312.70001220703125,316.17999267578125,54638600
2020-07-09,215.80832430609829,215.8582067760225,210.9600435361213,213.8031768798828,33121700,384.3569852410115,384.57659050946893,378.0084464190394,382.3206787109375,31410700,316.8399963378906,317.1000061035156,310.67999267578125,314.3800048828125,83354200
2020-07-10,213.10485690898392,213.56375433046387,210.5709887404439,213.1547393798828,26177600,380.65368646443125,383.22906021442225,378.1382327561501,382.9894714355469,22564300,314.30999755859375,317.8800048828125,312.760009765625,317.5899963378906,57550400
2020-07-13,213.96278286348326,215.2796070247855,206.00203068558804,206.57066345214844,38135600,388.3597818535509,399.10042615402506,380.3442351672269,381.22265625,47912300,320.1300048828125,322.7099914550781,314.1300048828125,314.8399963378906,102997500
2020-07-14,205.63293216289176,208.3463742297942,201.54281302943042,207.8475799560547,37591800,378.6772190200358,388.3198367544839,374.8341725615993,387.5312805175781,42747300,313.29998779296875,319.760009765625,312.0,318.9200134277344,93657000
2020-07-15,209.054653674389,210.8203896664313,204.5355787699024,207.53831481933594,32179400,395.2473630028882,396.2755080432931,385.26536048918905,390.19647216796875,38299500,322.4100036621094,323.0400085449219,319.2699890136719,321.8500061035156,87196500
2020-07-16,204.90467995031605,205.20395955660237,201.82213501615104,203.42825317382812,29940700,385.55482677130436,388.91875656710334,382.9295553745394,385.3951110839844,27644400,319.7900085449219,321.2799987792969,319.0899963378906,320.7900085449219,54622500
2020-07-17,203.97692441102797,204.54554194783495,200.90434996525025,202.39076232910156,31635300,387.25177925984843,387.89061154641917,382.6700135408099,384.61651611328125,23046700,321.8800048828125,322.57000732421875,319.739990234375,321.7200012207031,62774900
2020-07-20,204.505646617128,211.78804585813648,202.52043998224434,211.08973693847656,36884800,384.9759104689689,393.2909052914874,383.5584526859239,392.721923828125,22579500,321.42999267578125,325.1300048828125,320.6199951171875,324.32000732421875,56308800
2020-07-21,213.14476042927697,213.42408398872098,207.52833235947094,208.24659729003906,38105800,395.9760593818693,396.28549902217907,386.273551738941,387.30169677734375,25911500,326.45001220703125,326.92999267578125,323.94000244140625,325.010009765625,57499000
2020-07-22,208.69551090764733,211.78804134277004,207.88746665912618,211.23936462402344,49605700,386.07390804927064,391.19468031619346,385.71457057359765,388.3897399902344,22250400,324.6199951171875,327.20001220703125,324.5,326.8599853515625,57792900
2020-07-23,206.69037051709034,210.41137148174954,201.66251578817403,202.05157470703125,67457000,387.2917002010197,387.6111315878928,367.37762375069644,370.71160888671875,49251100,326.4700012207031,327.2300109863281,321.4800109863281,322.9599914550781,75738000
2020-07-24,199.9366924132325,202.37081087482306,197.0337061223031,200.8145751953125,39827000,363.2949807180814,371.2107011181776,355.9382195391564,369.7932434082031,46359700,320.95001220703125,321.989990234375,319.25,320.8800048828125,73766600
2020-07-27,200.9841633706641,203.4781347082442,200.37563375541484,203.35842895507812,30160900,374.16535929476964,378.9367550320377,373.2470321698986,378.55743408203125,30303500,321.6300048828125,323.4100036621094,320.7699890136719,323.2200012207031,48293000
2020-07-28,203.1189990063368,204.20636683900335,201.2535133464416,201.5328369140625,23251400,376.7906486565056,377.5193458037635,372.3187005809819,372.33868408203125,25906400,322.42999267578125,323.6400146484375,320.8500061035156,321.1700134277344,57495000
2020-07-29,202.01168116922133,204.15649046073924,201.52285730030172,203.5679168701172,19632600,374.325082766166,380.2344414763353,374.1753588255902,379.4757995605469,22582300,322.1199951171875,325.7300109863281,322.0799865722656,325.1199951171875,48454200
2020-07-30,200.51529403664952,203.9669570396339,199.08874974881604,203.40829467773438,25079600,376.0719417026708,384.4967541940176,374.39497260478805,384.0675354003906,39532500,321.8999938964844,324.4100036621094,319.6400146484375,323.9599914550781,61861700
2020-07-31,203.90708015674522,204.6054042735361,198.53007883380752,204.51560974121094,51248000,410.7993216226993,424.89390366823403,402.57413120433006,424.2750244140625,93584200,325.8999938964844,326.6300048828125,321.3299865722656,326.5199890136719,85210800
2020-08-03,211.00992369865236,217.11516044519865,209.93252629243963,216.01780700683594,78983000,432.02105635248137,445.74630980070503,430.7932895401207,434.96575927734375,77037800,328.32000732421875,329.6199951171875,327.7300109863281,328.7900085449219,53077900
2020-08-04,213.65353279837942,214.25209200280906,209.80284047893068,212.77565002441406,49280100,435.74434256486785,442.36241492402235,432.7696949307882,437.8705139160156,43267900,327.8599853515625,330.05999755859375,327.8599853515625,330.05999755859375,41917900
2020-08-05,214.38176335601926,214.48152829518614,211.05980703405658,212.42649841308594,28858600,436.7225827795075,440.7752731872479,434.8060249764513,439.4576416015625,30498000,331.4700012207031,332.3900146484375,331.17999267578125,332.1099853515625,42866400
2020-08-06,211.82793796963628,215.84821839801208,211.03984975405075,215.82827758789062,32656800,440.82519657240715,456.8263456169921,438.399577237199,454.7900085449219,50607200,331.4800109863281,334.4599914550781,331.1300048828125,334.3299865722656,43679400
2020-08-07,214.33190074670563,215.17984186000382,210.42134033222692,211.9676055908203,27789600,452.82000732421875,454.70001220703125,441.1700134277344,444.45001220703125,49453300,333.2799987792969,334.8800048828125,332.29998779296875,334.57000732421875,57265200
2020-08-10,211.1595535384757,211.3690538187416,205.85239069498314,207.747802734375,36716500,450.3999938964844,455.1000061035156,440.0,450.9100036621094,53100900,335.05999755859375,335.7699890136719,332.9599914550781,335.57000732421875,44282100
2020-08-11,206.66044025060287,207.14924888047526,202.65013016144528,202.88955688476562,36446500,447.8800048828125,449.92999267578125,436.42999267578125,437.5,46975600,336.8500061035156,337.5400085449219,332.010009765625,332.79998779296875,69601100
2020-08-12,204.79494247762344,209.77291471863376,204.25625136949068,208.685546875,28041400,441.989990234375,453.1000061035156,441.19000244140625,452.0400085449219,41486200,335.44000244140625,338.2799987792969,335.4100036621094,337.44000244140625,53826100
2020-08-13,208.93493727639418,210.84033495920863,207.6480395907686,208.19671630859375,22588900,457.7200012207031,464.1700134277344,455.7099914550781,460.0400085449219,52520500,336.6099853515625,338.25,335.8299865722656,336.8299865722656,41816100
2020-08-14,208.25657844744217,209.08457876354154,207.0095927705443,208.396240234375,17958900,459.32000732421875,460.0,452.17999267578125,459.6300048828125,41391300,336.4100036621094,337.4200134277344,335.6199951171875,336.8399963378906,47260400
2020-08-17,209.0945657949415,210.6807279333271,208.41619766671792,209.77291870117188,20184800,464.25,464.3500061035156,455.8500061035156,458.42999267578125,29890400,337.94000244140625,338.3399963378906,336.8500061035156,337.9100036621094,35481000
2020-08-18,210.02230407720404,211.84789284484813,208.70549518273484,210.97999572753906,21336200,457.4100036621094,464.0,456.0299987792969,462.25,26408400,338.3399963378906,339.1000061035156,336.6099853515625,338.6400146484375,38733900
2020-08-19,211.49000549316406,212.10000610351562,209.25,209.6999969482422,27627600,463.92999267578125,468.6499938964844,462.44000244140625,462.8299865722656,36384500,339.04998779296875,339.6099853515625,336.6199951171875,337.2300109863281,68054200
2020-08-20,209.5399932861328,215.0,208.91000366210938,214.5800018310547,26981500,463.0,473.57000732421875,462.92999267578125,473.1000061035156,31726800,335.3599853515625,338.79998779296875,335.2200012207031,338.2799987792969,42207800
2020-08-21,213.86000061035156,216.25,212.85000610351562,213.02000427246094,36249300,477.04998779296875,499.4700012207031,477.0,497.4800109863281,84513700,337.9200134277344,339.7200012207031,337.54998779296875,339.4800109863281,55106600
2020-08-24,214.7899932861328,215.52000427246094,212.42999267578125,213.69000244140625,25460100,514.7899780273438,515.1400146484375,495.75,503.42999267578125,86484400,342.1199951171875,343.0,339.45001220703125,342.9200134277344,48588700
2020-08-25,213.10000610351562,216.61000061035156,213.10000610351562,216.47000122070312,23003700,498.7900085449219,500.7200012207031,492.2099914550781,499.29998779296875,52776900,343.5299987792969,344.2099914550781,342.2699890136719,344.1199951171875,38369500
